code,lat,long,elev,type,age,year,Ht_cm,from_treeline
SD9,28.57136083,84.65944889,3701,SD,9,2000,13,below
SP24,28.57136944,84.65944056,3701,SP,9,2000,161,below
SD50,28.57143417,84.65933333,3701,SD,4,2005,4.8,below
T39,28.57139528,84.6593725,3702,T,15,1994,300,
SP72,28.57141083,84.65932889,3703,SP,8,2001,20,below
SP46,28.57133417,84.65945833,3703,SP,7,2002,19,below
SP35,28.57133389,84.65940444,3705,SP,19,1990,116,below
SD71,28.57135944,84.6593575,3706,SD,6,2003,10.3,below
SD18,28.57137389,84.65929167,3707,SD,3,2006,12.5,below
T9,28.571305,84.65939,3708,T,19,1990,450,
SP21,28.571335,84.6593425,3708,SP,9,2000,22,below
SD37,28.57129556,84.65940861,3708,SD,7,2002,15,below
T21,28.57136583,84.65928194,3709,T,21,1988,500,
SD68,28.57133778,84.65932889,3709,SD,10,1999,13.2,below
SP70,28.57128667,84.65940694,3709,SP,10,1999,18.5,below
SP17,28.57136639,84.65927417,3709,SP,7,2002,24,below
SD61,28.57134833,84.65925083,3712,SD,1,2008,6.5,below
SD21,28.57131778,84.65926917,3713,SD,5,2004,10.5,below
SP45,28.5712475,84.65937056,3714,SP,7,2002,20,below
SD31,28.57128556,84.65930361,3714,SD,6,2003,12.5,below
SP64,28.57128583,84.65929111,3715,SP,12,1997,46,below
SP31,28.57127667,84.65931,3715,SP,11,1998,25,below
T8,28.57125333,84.65928944,3717,T,20,1989,500,
SP15,28.57122917,84.65926528,3720,SP,9,2000,46,below
SD65,28.57126833,84.65920889,3720,SD,8,2001,8.5,below
SP49,28.57119722,84.65933056,3721,SP,11,1998,33,below
T10,28.57125667,84.65918306,3722,T,16,1993,420,
SD38,28.57121056,84.65926861,3722,SD,7,2002,13.5,below
SP57,28.57123,84.65920056,3723,SP,10,1999,36,below
SP11,28.57115639,84.65931333,3723,SP,9,2000,30.5,below
SP55,28.57122083,84.65915722,3726,SP,10,1999,22.2,below
SD28,28.57123167,84.65914694,3726,SD,6,2003,14.4,below
SD59,28.57119361,84.65918528,3727,SD,1,2008,6.9,below
T29,28.57115111,84.65922139,3728,T,19,1990,300,
SP37,28.57113806,84.65921472,3728,SP,10,1999,26.4,above
SP47,28.57116806,84.65910194,3731,SP,13,1996,36.2,above
SP14,28.57110556,84.65923972,3731,SP,8,2001,41,above
SD48,28.57114111,84.65912722,3733,SD,4,2005,6.2,above
SD33,28.57109389,84.65919278,3734,SD,8,2001,14.2,above
T32,28.57111889,84.65914194,3735,T,18,1991,425,
SP52,28.57109667,84.65916,3735,SP,10,1999,31,above
T14,28.57107222,84.65921722,3735,T,10,1999,400,
SP4,28.57103889,84.65920667,3737,SP,7,2002,15.5,above
SP8,28.57108611,84.6591,3739,SP,9,2000,38,above
T11,28.57109583,84.65906333,3740,T,16,1993,900,
SD49,28.57106972,84.65909278,3740,SD,7,2002,9.2,above
SD25,28.57103972,84.65915111,3740,SD,6,2003,13,above
SD22,28.57108944,84.65902056,3741,SD,9,2000,14.5,above
SP9,28.57099083,84.65916972,3743,SP,10,1999,28,above
SP38,28.57102944,84.65906833,3745,SP,15,1994,61.5,above
SP56,28.57106639,84.65901778,3745,SP,6,2003,16,above
SP25,28.57095028,84.65912806,3747,SP,7,2002,18,above
SD11,28.57100611,84.65906639,3747,SD,6,2003,11.9,above
SP22,28.57098194,84.65906889,3748,SP,10,1999,28,above
T30,28.5709875,84.65904611,3749,T,15,1994,290,
SD39,28.57093833,84.6591025,3749,SD,10,1999,13.5,above
SD56,28.57103528,84.65899444,3749,SD,3,2006,4.5,above
SP40,28.57091556,84.65910417,3752,SP,7,2002,15.2,above
SD20,28.57099361,84.65897278,3753,SD,5,2004,12.8,above
SP43,28.57098222,84.65897778,3754,SP,7,2002,20,above
SD17,28.57095778,84.65899639,3755,SD,4,2005,11.4,above
SD58,28.57089389,84.65906444,3755,SD,1,2008,7.1,above
SP5,28.57087944,84.65906889,3756,SP,9,2000,29.5,above
SP75,28.57091111,84.65902194,3756,SP,9,2000,17,above
SP13,28.57096667,84.65892139,3759,SP,8,2001,41,above
SD52,28.570895,84.65900528,3759,SD,7,2002,13,above
