code,lat,long,age,year,type,elev1,from.treeline
TR10,28.569083,84.685017,237,1774,tree,3602,below
TR11,28.568767,84.684983,182,1829,tree,3625,below
TR23,28.567026,84.684361,123,1888,tree,3701,above
TR18,28.566817,84.684069,35,1976,tree,3718,above
SP33,28.565133,84.683617,17,1994,sapling,3869,above
SP34,28.564500,84.683367,9,2002,sapling,3929,above
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
