code,lat,long,elev,type,age,year,from.treeline
TR10,28.569083,84.685017,3602,tree,237,1774,below
TR11,28.568767,84.684983,3625,tree,182,1829,below
TR3,28.569333,84.685100,3584,tree,131,1880,below
TR23,28.567026,84.684361,3701,tree,123,1888,above
TR12,28.567949,84.684597,3652,tree,104,1907,below
TR1,28.569367,84.685083,3580,tree,99,1912,below
TR5,28.569217,84.685117,3594,tree,91,1920,below
TR2,28.569333,84.685117,3585,tree,71,1940,below
TR19,28.568200,84.684850,3652,tree,64,1947,below
TR9,28.567833,84.684632,3661,tree,55,1956,below
TR15,28.567490,84.684376,3668,tree,49,1962,below
TR16,28.567536,84.684572,3683,tree,40,1971,below
TR8,28.567100,84.684210,3691,tree,37,1974,below
TR18,28.566817,84.684069,3718,tree,35,1976,above
SP25,28.568300,84.684883,3648,sapling,31,1980,below
SP22,28.568483,84.684833,3634,sapling,31,1980,below
TR20,28.568024,84.684720,3655,tree,29,1982,below
SP13,28.568933,84.684917,3607,sapling,29,1982,below
SP10,28.569217,84.685000,3589,sapling,29,1982,below
SP29,28.568100,84.684600,3643,sapling,28,1983,below
SP15,28.568650,84.684850,3624,sapling,28,1983,below
TR13,28.568867,84.684883,3611,tree,27,1984,below
TR14,28.568683,84.684817,3620,tree,26,1985,below
SP14,28.568867,84.684867,3610,sapling,26,1985,below
TR6,28.567262,84.684405,3688,tree,25,1986,below
TR22,28.568081,84.684843,3658,tree,25,1986,below
TR21,28.568300,84.684800,3644,tree,25,1986,below
SP23,28.568500,84.684817,3633,sapling,25,1986,below
SP21,28.568483,84.684817,3634,sapling,23,1988,below
SP7,28.569250,84.685100,3590,sapling,23,1988,below
SP19,28.568600,84.684883,3631,sapling,22,1989,below
SP3,28.569367,84.685133,3583,sapling,22,1989,below
TR25,28.567040,84.684171,3696,tree,21,1990,above
SP24,28.568300,84.684800,3644,sapling,21,1990,below
SP16,28.568667,84.684817,3622,sapling,21,1990,below
SP33,28.565133,84.683617,3869,sapling,17,1994,above
SP20,28.568700,84.684883,3623,sapling,17,1994,below
SP28,28.568217,84.684750,3646,sapling,16,1995,below
SP17,28.568650,84.684883,3627,sapling,16,1995,below
SP18,28.568667,84.684867,3624,sapling,16,1995,below
TR7,28.569267,84.685100,3590,tree,16,1995,below
SP6,28.569250,84.685100,3590,sapling,16,1995,below
